name,x,y,plst,dem,at
USC00041614,-120.1792,41.53,44.53,1428.9,32.2
USC00041697,-119.9161,37.9747,32.57,1452.4,29.4
USC00041700,-121.2422,40.3033,29.59,1380.7,30
USC00041738,-115.7206,33.6617,51.55,520,35.6
USC00041758,-117.0858,32.64,40.65,17.1,20
USC00041806,-122.5672,38.9239,41.21,411.2,34.4
USC00041864,-120.3606,36.1356,53.29,204.2,37.8
USC00041912,-120.9481,39.0911,37.11,725.4,32.2
USC00041948,-122.0269,39.1875,39.61,15.2,32.8
USC00041967,-122.0692,37.9833,43.39,12.2,28.3
USC00042012,-119.5817,36.0975,53.11,61,36.1
USC00042081,-123.2444,39.8158,38.99,430.7,31.7
USC00042147,-124.2147,41.7958,24.35,13.1,17.8
USC00042214,-118.4139,34.005,40.61,28,22.2
USC00042239,-116.5872,32.9897,36.77,1414.3,26.7
USC00042294,-121.7761,38.535,44.09,18.3,31.7
USC00042319,-116.8669,36.4622,57.27,-59.1,44.4
USC00042402,-121.6108,39.8717,33.11,826,31.7
USC00042410,-115.3925,33.7378,54.5,227.7,42.2
USC00042500,-120.8239,39.5633,30.55,888.5,30.6
USC00042506,-120.0828,39.9717,44.35,1338.1,30
USC00042574,-122.2736,41.1833,29.87,661.4,33.9
USC00042598,-115.4508,33.8089,52.89,296.6,37.8
USC00042706,-116.9281,32.8006,46.51,150.9,27.2
USC00042709,-116.815,32.8856,40.05,182.9,31.1
USC00042713,-115.5617,32.7669,52.91,-9.1,42.8
USC00042771,-117.6303,34.5892,57.87,899.2,33.9
USC00042805,-117.3319,33.6692,50.17,391.7,33.3
USC00042934,-122.0678,38.2736,42.87,12.2,28.9
USC00042941,-118.4297,34.705,43.91,932.7,30
USC00043083,-120.1561,36.3642,43.75,86.9,36.7
USC00043157,-120.1575,41.8714,44.49,1444.4,28.9
USC00043161,-123.7567,39.5092,30.07,37.5,18.9
USC00043191,-123.2447,38.515,22.29,34.1,14.4
USC00043244,-122.0158,37.5422,42.11,11.6,23.3
